date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:07:56	34832/34832	U-----	200	untouched ('')	application/javascript	etag:W/%226de8084a9da5f8c88dd666b86773885a%22	https://static.parastorage.com/services/editor-elements/dist/bootstrap-components-common.942d248e.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/editor-elements/dist/bootstrap-components-common.942d248e.chunk.min.js	(from https://www.doclab.se/pcr-result/dlcm3b5j)
05:07:56	19475/19475	U-----	200	untouched ('')	application/javascript	etag:W/%22aef1e8e32d357c9b4ac470efff93c308%22	https://static.parastorage.com/services/editor-elements/dist/bootstrap-components-classic.3d88161e.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/editor-elements/dist/bootstrap-components-classic.3d88161e.chunk.min.js	(from https://www.doclab.se/pcr-result/dlcm3b5j)
05:08:31	6450/6450	U-----	200	untouched ('')	application/javascript	etag:W/%22a1533c8011eeb65d12e6777edc8e5e49%22	https://static.parastorage.com/services/editor-elements/dist/LanguageSelector.170bac46.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/editor-elements/dist/LanguageSelector.170bac46.chunk.min.js	(from https://www.doclab.se/pcr-result/dlcm3b5j)
05:08:31	15796/15796	U-----	200	untouched ('')	application/javascript	etag:W/%224dd3e79d8bfd6f68d867608e32dd51eb%22	https://static.parastorage.com/services/editor-elements/dist/bootstrap-components-responsive.fc58a9a3.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/editor-elements/dist/bootstrap-components-responsive.fc58a9a3.chunk.min.js	(from https://www.doclab.se/pcr-result/dlcm3b5j)
05:08:31	827/827	U-----	200	untouched ('')	application/javascript	etag:W/%220ed24ee0fe2dd35c81a4f9375a7f10ba%22	https://static.parastorage.com/services/editor-elements/dist/FiveGridLine_SolidLine.ece5449d.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/editor-elements/dist/FiveGridLine_SolidLine.ece5449d.chunk.min.js	(from https://www.doclab.se/pcr-result/dlcm3b5j)
05:08:31	883/883	U-----	200	untouched ('')	application/javascript	etag:W/%228555aa3f43f2e6a02b16f6a2143fbd81%22	https://static.parastorage.com/services/editor-elements/dist/Container_DefaultAreaSkin.35ebff57.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/editor-elements/dist/Container_DefaultAreaSkin.35ebff57.chunk.min.js	(from https://www.doclab.se/pcr-result/dlcm3b5j)
05:08:31	311361/311361	U-----	200	untouched ('')	image/png	date:Tue,%2002%20Mar%202021%2004:17:13%20GMT	https://static.wixstatic.com/media/160222_1a1e36328b4c4839a44d63bc0c7c72fe~mv2.png/v1/fill/w_480,h_320,al_c,usm_0.66_1.00_0.01,blur_2/160222_1a1e36328b4c4839a44d63bc0c7c72fe~mv2.png	C:/My%20Web%20Sites/PCR/static.wixstatic.com/media/160222_1a1e36328b4c4839a44d63bc0c7c72fe_mv2.png/v1/fill/w_480,h_320,al_c,usm_0.66_1.00_0.01,blur_2/160222_1a1e36328b4c4839a44d63bc0c7c72fe_mv2.png	(from https://www.doclab.se/pcr-result/dlcm3b5j)
05:08:31	23616/23616	U-----	200	untouched ('')	image/png	date:Thu,%2025%20Feb%202021%2020:17:12%20GMT	https://static.wixstatic.com/media/160222_7b646b0e366b4eb1b4aea14501fe537b~mv2.png/v1/fill/w_194,h_48,al_c,usm_0.66_1.00_0.01,blur_3/Untitled%20design.png	C:/My%20Web%20Sites/PCR/static.wixstatic.com/media/160222_7b646b0e366b4eb1b4aea14501fe537b_mv2.png/v1/fill/w_194,h_48,al_c,usm_0.66_1.00_0.01,blur_3/Untitled%20design.png	(from https://www.doclab.se/pcr-result/dlcm3b5j)
05:08:32	8459/8459	U-----	200	untouched ('')	image/png	date:Mon,%2022%20Feb%202021%2020:41:44%20GMT	https://static.wixstatic.com/media/160222_388977606f2647609176000f5ed6975b~mv2.png/v1/fill/w_48,h_48,al_c,usm_0.66_1.00_0.01,blur_3/Logo_small.png	C:/My%20Web%20Sites/PCR/static.wixstatic.com/media/160222_388977606f2647609176000f5ed6975b_mv2.png/v1/fill/w_48,h_48,al_c,usm_0.66_1.00_0.01,blur_3/Logo_small.png	(from https://www.doclab.se/pcr-result/dlcm3b5j)
05:08:32	8677/8677	U-----	200	untouched ('')	application/javascript	etag:W/%22495807b969af393e606ff0a37ae67070%22	https://static.parastorage.com/services/wix-thunderbolt/dist/tpa-components.a209a60a.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/tpa-components.a209a60a.chunk.min.js	(from https://www.doclab.se/pcr-result/dlcm3b5j)
